,main_cate,sub_cate,title
287,news,,"플레이위드, 세계 최초로 '스팀 카페' 서비스한다  "
288,news,루머, 정말 스위치로 나올까? '레드 데드 리뎀션2' 이식 정황 솔솔  
289,news,,"클로저스, 쌍권총을 쓰는 신규 캐릭터 '김철수' 사전계약 이벤트 시작  "
290,news,,"권혁빈 의장 ""1등이란 이유로 존경받는 시대는 저물었다""  "
291,news,,WWE2K20와 스타워즈 제다이가 2020년 작동을 멈췄다 
292,news,,"오늘부터 신청만 하면 가능! '섀도우 아레나', 2차 CBT 시작  "
293,news,,"룽투코리아 신작 모바일 MMORPG, '블레스 이터널' 사전예약  "
294,news,1월 신작게임," 몬스터 헌터 초대형 확장팩 '아이스본', 드디어 PC에서도!  "
295,news,,"GOTY는 세키로, '스팀 어워드 2019' 수상작 발표  "
296,news,,"위메이드, 中 킹넷 '왕자전기' 저작권 침해 소송 승소  "
297,news,,"고옌, 오로엔 참전! '섀도우 아레나', 2차 CBT 통해 액션과 전술 재미 강화  "
298,news,,"디제이맥스 리스펙트 V, 스팀이 선정한 2019 최고 출시작  "
299,news,,새해 첫 최강자는 누가 될까? 하스스톤 인벤 컵 1월 2일 예선 돌입!  
300,news,게임&컬쳐, 스파이더맨 촬영 때문에... 영화 '언차티드' 6번째 감독 하차 
301,news,,"김성회 유튜버, 인디게임 발전을 위해 800만 원 기부  "
302,news,,"일러스트 한 장이면, 당신도 '버추얼 유튜버'  "
303,news,Tech," 혼자서도 잘 논다, 강아지 이어 '로봇 고양이' 등장  "
304,news,순위분석, 2019년의 대미를 장식한 '소울워커' 22단계 급상승 
305,news,,"킹덤언더파이어2, 스팀 '최고의 출시작'으로 선정  "
306,news,,"'롤토체스 모바일', 내년 5월 내 출시된다  "
307,news,,"스마일게이트 희망스튜디오, '로스트아크' 게임대상 상금 전액 기부  "
308,news,,"손끝의 가상현실, 촉감 컨트롤러 '테슬라슈트 글로브' 공개  "
309,news,,"배틀로얄 왕좌에 도전! '크로스파이어 제로', 동남아 사전예약 실시  "
310,news,종합, 2020년의 검은사막엔 어떤 콘텐츠가? '칼페온 연회' [
311,news,기획," 격동의 2019년 게임업계, 무슨 일이 있었나? "
